Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002161;483164;75010;11;2;CPCU;ENTRETIEN_RESEAU;Réparation de fuite.;199 rue La Fayette;;2021-10-22;2022-02-18;RESTREINTE;Neutralisation de la voie bus.;2;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/NE04 INFO RIVE.pdf;"{""coordinates"": [[[2.363120955673701, 48.88097321877045], [2.36311598049849, 48.880937499681096], [2.362905580387697, 48.8808840319943], [2.362887163185636, 48.88091486735417], [2.363120955673701, 48.88097321877045]]], ""type"": ""Polygon""}";48.88092756021932,2.3630068295370603
CP002211;;75002;11;3;DUMEZ;REHABILITATION_IMMEUBLE;;Rue Montmartre;au N°176;2021-12-16;2023-06-30;RESTREINTE;Maintien de 3.50m de circulation;2;2;;"{""coordinates"": [[[2.343023399122062, 48.87104128492596], [2.342982870885796, 48.87105153259212], [2.34295889096262, 48.87106520223949], [2.343001317012912, 48.87119059719807], [2.343040355056256, 48.8711841482545], [2.343027380119922, 48.87112601743505], [2.343051967163995, 48.87112139307357], [2.343023393121948, 48.87104176064404], [2.343023399122062, 48.87104128492596]]], ""type"": ""Polygon""}";48.871110671523,2.3430070576181845
CP002214;510349;75005;12;2;EDP;ENTRETIEN_RESEAU;Renouvellement des conduites.;92 bd St Marcel;entre la rue de la Collégiale et l'avenue des Gobelins.;2022-01-12;2022-04-18;RESTREINTE;Maintien d'une file de circulation.;2;2;;"{""coordinates"": [[[2.351847531135267, 48.83695913912096], [2.35219778613313, 48.8370562201303], [2.352612673625019, 48.83717387578389], [2.352618908197008, 48.837107280834175], [2.351965372724375, 48.83690385766193], [2.351878702396607, 48.83691647566717], [2.351847531135267, 48.83695913912096]]], ""type"": ""Polygon""}";48.8370286802049,2.3522345359529817
CP002259;;75020;10;2;RTE;CREATION_RESEAUX;Création de la liaison Souterraine Charenton - Père Lachaise;bd de Ménilmontant;Entre le CF bd de Charonne/Pierre Bayle/ av. Philippe Auguste et l'avenue Gambetta;2022-03-14;2022-04-07;RESTREINTE;Maintien au minimum de 4,50m;1;2;;"{""coordinates"": [[[2.390146672104172, 48.858501927689694], [2.390136604150652, 48.85843028662296], [2.389936112626606, 48.858411380278596], [2.38965742551786, 48.85857821968306], [2.388662370076564, 48.86059962289844], [2.387572238914485, 48.862864029657544], [2.387724285278022, 48.862857611090995], [2.387892837444046, 48.86236797879154], [2.38867625123625, 48.8608109183614], [2.389721822472023, 48.85863939697268], [2.389842601386078, 48.85852186036087], [2.389989769853303, 48.858465306112215], [2.390135805879833, 48.858505470596135], [2.390146672104172, 48.858501927689694]]], ""type"": ""Polygon""}";48.86059384953802,2.388733821538714
CP002276;;75017;9;3;ICF HABITAT;CONSTRUCTION_IMMEUBLE;"Création de 111 logements sociaux.
Emprise principale sur trottoir + 18 ml sur chaussée (livraison)";Voie Bus;Entre le 188 bis et 188 ter avenue de Clichy;2022-05-02;2024-06-30;RESTREINTE;"Déviation bus dans circulation générale
Création PP avec CP provisoire au n°188
Perche SLT au n° 188 bis + dépose socle Devault + feu G sur TPC au n° 190";2;1;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/PIC 188bis av. Clichy - version 2.pdf;"{""coordinates"": [[[2.315884598767695, 48.89320306231301], [2.315774765008547, 48.89315817632153], [2.315774049814771, 48.89315769649222], [2.31564390066753, 48.8932307162974], [2.315668889168939, 48.89325132233803], [2.315507438819428, 48.89334462724541], [2.315564610758674, 48.893387784367086], [2.315884598767695, 48.89320306231301]]], ""type"": ""Polygon""}";48.893265077016885,2.3156964416358305
CP002298;584166;75014;12;2;GRDF;ENTRETIEN_RESEAU;Renouvellement réseaux GRDF;Rue Poirier de Narçay;Entre la rue Friant et l'avenue du Général Leclerc;2022-05-02;2022-06-10;BARRAGE_TOTAL;Barrage de la rue uniquement en journée entre 8h30 et 17h30;2;1;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/2022-14-057 - GRDF FRIANT-POIRIER DE NARCAY-JEAN MOULIN....pdf;"{""coordinates"": [[[2.323639259195802, 48.82447138474201], [2.323675696136697, 48.82444065575427], [2.325556858767971, 48.824027708213734], [2.325616055939858, 48.82404826912219], [2.32559372515819, 48.8239636671261], [2.325577309328486, 48.8239790420825], [2.325486942560107, 48.823999948436004], [2.325467261502009, 48.823989129404815], [2.32370177043549, 48.82437536344322], [2.32368712360596, 48.824393127901885], [2.3236185018508, 48.82440463768515], [2.3235897805684402, 48.824396146973704], [2.323587916918346, 48.82440089505094], [2.323639259195802, 48.82447138474201]]], ""type"": ""Polygon""}";48.82420975402789,2.324597723355365
CP002208;;75018;9;1;Mission Vélo;REAMENAGEMENT_VOIRIE;Pérennisation Piste cyclable;Avenue de la Porte de Clignancourt;Entre la sortie du BP et rue Francis de Croisset;2022-01-11;2022-03-31;RESTREINTE;"En 2 Phases:
Phase centrale du 11/01 au 24/01/22
Phases latérales du 24/01 au 31/03/21";1;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/LAR MV Porte de Clignancourt - Bd Ornano - Coronapiste.pdf;"{""coordinates"": [[[2.343978406223263, 48.900620184703996], [2.344267469675659, 48.900619083227255], [2.344281194811834, 48.89952944855845], [2.343988134998416, 48.89952515922438], [2.343978406223263, 48.900620184703996]]], ""type"": ""Polygon""}";48.90007220041628,2.344128695828959
CP001421;;75016;13;3;Maison de la Radio;REHABILITATION_IMMEUBLE;installation de la base vie;Rue  Boullainvilliers;du n°2 au n°10;2019-07-01;2024-12-31;RESTREINTE;Modification des files de circulation .;2;2;;"{""coordinates"": [[[2.278087968773189, 48.85165200691029], [2.278005620021254, 48.8516098677418], [2.276937983388898, 48.852153100104196], [2.277031015931084, 48.85220482339153], [2.277203537312671, 48.85224512825189], [2.277277016258524, 48.852146820346], [2.277364653873166, 48.852067633802186], [2.277497476879536, 48.85198039195424], [2.277631837054627, 48.85191219603773], [2.2778039222536828, 48.8518537456313], [2.277986543962677, 48.85181558521849], [2.277974533897985, 48.851771490754125], [2.278032370887963, 48.8517611310494], [2.2781821795556922, 48.85174894738235], [2.278087968773189, 48.85165200691029]]], ""type"": ""Polygon""}";48.85192095805083,2.277550787213803
CP001837;;75008;9;3;DIOR;REHABILITATION_IMMEUBLE;Curage du 11/02/21 au 30/06/21;Rue Galilée;Entre Champs Elysées et Vernet;2021-02-11;2023-03-31;RESTREINTE;Maintien d'une file de circulation.;2;2;;"{""coordinates"": [[[2.299263019651192, 48.87208338769547], [2.299087850318169, 48.871965765767534], [2.299089685895717, 48.871963396852166], [2.298843276084305, 48.871778731266176], [2.298763412754295, 48.871816335353], [2.299186731257099, 48.872123393546424], [2.299263019651192, 48.87208338769547]]], ""type"": ""Polygon""}";48.87195027006955,2.2990112838774786
CP002275;570610;75014;12;2;ENEDIS;ENTRETIEN_RESEAU;Renouvellement HTA;avenue Reille;du 2 au 16 + Place Coluche + impasse Reille;2022-03-21;2022-05-27;RESTREINTE;"Traversée au 4 Reille en 2 Phases. Maintien de 3.501 du 21/03 au 25/03
Barrage impasse Reille le 28 et 29/03 de 9h00 à 16h00.
Travaux sur trottoir du 2 au 16. Arrêt ponctuel camion dans le couloir BUS;";2;2;;"{""coordinates"": [[[[2.341297844998818, 48.82618393679328], [2.341518096565363, 48.82607808165016], [2.341494150755214, 48.82603048158925], [2.341320073199658, 48.826116378429056], [2.340524719979621, 48.82531482763572], [2.340459462475518, 48.825345401834944], [2.341297844998818, 48.82618393679328]]], [[[2.341518096565363, 48.82607808165016], [2.341518759628492, 48.82607939929056], [2.3415188105726052, 48.82607773842219], [2.341518096565363, 48.82607808165016]]]], ""type"": ""MultiPolygon""}";48.825783826331346,2.3409628602092876
