Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002286;527642;75009;9;1;Mission Vélo;REAMENAGEMENT_VOIRIE;Pérennisation Piste cyclable;Rue La Fayette;Du 1 au 79;2022-03-14;2022-09-30;RESTREINTE;"Maintien d'une voie de circulation + Couloir Bus
Nuits du 11 au 13/04 barrage total de la rue";1;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/LAR Lafayette PC.pdf;"{""coordinates"": [[[2.333431609125435, 48.873190784648884], [2.337345467469421, 48.87418952087657], [2.341692876473875, 48.8753461894658], [2.344617035880933, 48.87611645947106], [2.345854013570905, 48.87644531431297], [2.345878865425806, 48.87641055678829], [2.342954771050429, 48.87563226660043], [2.338327382990012, 48.87440967937581], [2.335873705506721, 48.873773384926345], [2.335216661110131, 48.87360600862101], [2.333444364030305, 48.87314791041583], [2.333427471067494, 48.873196129762995], [2.333431574772737, 48.873193468985924], [2.333431609125435, 48.873190784648884]]], ""type"": ""Polygon""}";48.87481312863635,2.3397512006131196
CP002289;476624;75019;10;2;CPCU;INSPECTION_SONDAGE_RESEAU;Campagne d'inspection réseaux chauffage urbain (Projet n°1);Sur chaussée et sur trottoirs;Entre le boulevard de la Villette et la place du Maroc;2022-04-25;2022-09-02;RESTREINTE;"Espaces réglementaires gardés sur trottoirs. Chaussée circulée avec 3.50m
Piste cyclable neutralisée entre bd Villette et rue Bellot (déviation par rues Bellot > Aubervilliers)";2;1;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/Plan feouilles CPCU  projet 1.pdf;"{""coordinates"": [[[[2.366888617888211, 48.88445013050112], [2.368740777098847, 48.88615622656418], [2.368794041878029, 48.886126982517034], [2.366938133324069, 48.88445307591432], [2.366901539081346, 48.884450198826016], [2.366888617888211, 48.88445013050112]]], [[[2.366885260777847, 48.884450112749086], [2.366888617888211, 48.88445013050112], [2.366865173266894, 48.88442853419151], [2.366885260777847, 48.884450112749086]]]], ""type"": ""MultiPolygon""}";48.88537975924901,2.3679315315694147
CP002296;612541;75010;11;2;SNCF;TRAVAUX_OUVRAGE;Trémie ouvrage SNCF en mauvaise état (zone étayée) à consolider en urgence;Place Jan Karski;Rue Philipe de Girard fermée coté pair au droit du n° 14;2022-04-18;2022-05-27;BARRAGE_TOTAL;Barrage de la rue Philippe de Girard depuis la rue Louis Blanc. Fermetures rue Cail (23h-5h) du 29/04 au 01/05 et du 14 au 20/05/22;2;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/ROC SNCF entretoises karski.pdf;"{""coordinates"": [[[2.361842850994428, 48.88199495856888], [2.361457386600516, 48.88209522094392], [2.361457401177503, 48.88209403210799], [2.36145923427443, 48.882091662258745], [2.361430008209003, 48.88212124990525], [2.361495801133374, 48.882198933253115], [2.361479042045225, 48.88224167533806], [2.361728232196219, 48.88266298184883], [2.362076882384728, 48.88262319931895], [2.362191092006575, 48.88257740781798], [2.361842850994428, 48.88199495856888]]], ""type"": ""Polygon""}";48.88234410216622,2.361801729294992
CP002207;529072;75018;9;3;ICF Habitat La sablière;CONSTRUCTION_IMMEUBLE;Construction d'une résidence de 28  logements;Rue de La Chapelle;Au N° 31;2022-02-28;2023-01-06;RESTREINTE;"Maintien de 3.50m de circulation
Réduction du double sens cyclable";2;2;;"{""coordinates"": [[[[2.35959041252537, 48.89258117194049], [2.359682256600924, 48.892578101771626], [2.359702097586224, 48.892431871216125], [2.359621056810695, 48.892419540739276], [2.35959041252537, 48.89258117194049]]], [[[2.359590185042116, 48.89258236861971], [2.35959041252537, 48.89258117194049], [2.359590199675734, 48.89258117889609], [2.359590185042116, 48.89258236861971]]]], ""type"": ""MultiPolygon""}";48.89250385012754,2.3596480143764595
CP002213;510349;75005;12;2;EDP;ENTRETIEN_RESEAU;Renouvellement des conduites;70-80 bd St Marcel;entre les rues Scipion et Collégiale.;2022-01-03;2022-04-08;RESTREINTE;Emprise dans la contre-allée mais livraisons prévues ponctuellement entre 5h et 6h.;2;2;;"{""coordinates"": [[[2.353520269657746, 48.837486383144274], [2.354066080414869, 48.83765709150929], [2.354126468930684, 48.83758365067098], [2.353575326764655, 48.83740696444585], [2.353520269657746, 48.837486383144274]]], ""type"": ""Polygon""}";48.83753277460567,2.3538200360682064
CP002222;538242;75008;9;2;ENEDIS;RACCORDEMENT_RESEAU;Raccordement Client;Rue Marbeuf / Rue Clément Marot;9 au 13 et du 18 au 20;2022-01-10;2022-03-31;RESTREINTE;Lors des traversées de chaussées, maintien de 4,00m de circulation;2;2;;"{""coordinates"": [[[2.302988123828674, 48.86790358320062], [2.302988102506518, 48.86790517671893], [2.302892516266199, 48.867860991817686], [2.302753249693718, 48.867845106647266], [2.302645559878618, 48.8678968284304], [2.302353099235818, 48.86765003315117], [2.302315622809569, 48.8676648886553], [2.302650948595773, 48.867942867710774], [2.302775790465677, 48.867868247745285], [2.302778177698383, 48.86786904678141], [2.302877920412644, 48.867873601984954], [2.302974332502344, 48.86794633427448], [2.303275284381531, 48.8677379028964], [2.303256330316962, 48.86771637641282], [2.302988123828674, 48.86790358320062]]], ""type"": ""Polygon""}";48.86782896902675,2.30276718736773
CP002257;;75008;9;2;CLIMESPACE;RACCORDEMENT_RESEAU;Raccordement Client au 69 rue de Miromesnil;Miromesnil;CF Miromesnil/ Laborde/ Haussmann;2022-03-28;2022-04-22;RESTREINTE;"Travaux en 2 phases
Maintien de 3.50m de voie de circulation";2;2;;"{""coordinates"": [[[2.315812700809434, 48.87578465461769], [2.315808632614271, 48.87578463136589], [2.315833735809557, 48.875422423875484], [2.315895156986514, 48.87539325049102], [2.316232413878776, 48.87543006995284], [2.316269879790339, 48.87536586607454], [2.315924485616526, 48.87532899931359], [2.315748713787559, 48.87538972897381], [2.315714871452584, 48.87579751627257], [2.315812700809434, 48.87578465461769]]], ""type"": ""Polygon""}";48.875497907863746,2.3158920963084166
CP002250;587526;75010;11;1;STV;REAMENAGEMENT_VOIRIE;Végétalisation;Rue St Vincent de Paul;Entre bd Magenta et rue Ambroise Paré;2022-03-28;2022-06-24;RESTREINTE;Barrage de la rue en journée, en semaine;2;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/LAR Saint-Vincent de Paul.pdf;"{""coordinates"": [[[2.352630621990148, 48.88184368353452], [2.352777586155589, 48.881806901385616], [2.352466019854086, 48.88068059591426], [2.3523104527848, 48.880754907929685], [2.352362918858851, 48.880790084924186], [2.352630555263702, 48.881849051277996], [2.352630621990148, 48.88184368353452]]], ""type"": ""Polygon""}";48.88128027355293,2.352558791141304
CP002263;534148;75015;13;2;GRDF;ENTRETIEN_RESEAU;Renouvellement de robinet;Rue Vasco de Gama;du 31 au 37;2022-02-07;2022-04-01;RESTREINTE;Maintien de 3,50 m;2;2;;"{""coordinates"": [[[2.283570758753952, 48.83698895717565], [2.2835112109480162, 48.83698143428879], [2.281892104585996, 48.83782529607004], [2.281894310216618, 48.83786288782322], [2.283327859191627, 48.83710917655348], [2.283370930912565, 48.837129109309174], [2.283551229954477, 48.837028190505244], [2.283527080642733, 48.83701016900491], [2.283570684973016, 48.83699432509561], [2.283570758753952, 48.83698895717565]]], ""type"": ""Polygon""}";48.837385800807056,2.282776816586101
CP000442;;75008;9;2;EOLE;TRAVAUX_OUVRAGE;Prolongement du RER E - Puits Pasquier;Bd Haussmann;entre rue de l'Arcade et rue d'Anjou;2017-07-01;2021-12-31;RESTREINTE;Neutralisation du couloir bus. Maintien des cheminements piétons et d'une file sur la rue Pasquier. Rue Pasquier fermée du 24/07/17 au 25/10/17;2;4;;"{""coordinates"": [[[2.322881182230636, 48.87440292430693], [2.322884693425122, 48.874445889427435], [2.323842634728677, 48.874314415789115], [2.3238628385118822, 48.874325266224574], [2.3238573767859663, 48.87443259851544], [2.323889926984341, 48.874432782368594], [2.323899841312721, 48.87429595080958], [2.3239015435285912, 48.87426848380335], [2.323991265297691, 48.87425288605297], [2.324472389936637, 48.87417776342435], [2.32445942094506, 48.87413269627761], [2.3228778817544082, 48.8743438559033], [2.322881182230636, 48.87440292430693]]], ""type"": ""Polygon""}";48.87429944518452,2.323575149071293
CP000665;;75013;14;2;RATP;CREATION_ENTRETIEN_OUVRAGE_ART;Création d'une nouvelle station de métro pour la ligne 14.;Av d'Italie;entre la rue Caillaux et rue Tagore.;2018-04-09;2024-06-28;RESTREINTE;Maintien d'une seule file de circulation dans chaque sens.;1;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/IC_MBP20200121 Plantation arbres.pdf;"{""coordinates"": [[[2.358405068815885, 48.82212853344199], [2.358768551673645, 48.82216855651797], [2.358964342189241, 48.82148546880343], [2.358512697209675, 48.82143545432379], [2.358293449049879, 48.82212079523479], [2.358405068815885, 48.82212853344199]]], ""type"": ""Polygon""}";48.82180441012492,2.358634044577539
CP002309;606158;75010;11;2;EDP;ENTRETIEN_RESEAU;Puit pour renouvellement conduites EP en DN 100/150/200;Voie Bus;Emprise située entre le 14 et le 16 boulevard Saint Martin sur une partie du trottoir et sur la voie Bus;2022-05-09;2022-09-23;RESTREINTE;Déviation des bus dans la circulation générale;2;1;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/RenÃ© Boulanger, CitÃ© Riverin, Bd St Martin.pdf;"{""coordinates"": [[[2.356860118029974, 48.86887949798948], [2.357170893511725, 48.86883262556406], [2.357180705257524, 48.868797460973866], [2.35713625875143, 48.86877485475366], [2.356833383283357, 48.86882462494836], [2.356833365651026, 48.8688260530068], [2.356860118029974, 48.86887949798948]]], ""type"": ""Polygon""}";48.868826550346625,2.357009072149106
CP002254;400415;75020;10;1;DVD- Mission Vélo;REAMENAGEMENT_VOIRIE;Pérennisation Piste Cyclable;Avenue Gambetta;Entre Place Gambetta et bd de Ménilmontant;2022-03-15;2022-11-25;SENS_UNIQUE;"Depuis Place Gambetta vers bd de Ménilmontant
Barrage total de l'avenue de Gambetta les nuits du 15 au 17/03";1;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/LAR Gambetta Ouest A3.pdf;"{""coordinates"": [[[2.395491645100205, 48.86493310712909], [2.395557428928012, 48.86487613610193], [2.387793147717161, 48.86290686694125], [2.387743553740498, 48.86297106013879], [2.391330812633285, 48.86387727342869], [2.392737681981017, 48.86422459165194], [2.394555965381491, 48.864670644349005], [2.395491809761333, 48.86492596539854], [2.395491645100205, 48.86493310712909]]], ""type"": ""Polygon""}";48.86385231505169,2.3913860272849803
CP001737;;75013;14;1;STEA;CREATION_RESEAUX;Création d'un Bassin de stockage;bd de l'Hopital;Square Marie Curie;2020-10-01;2024-04-30;RESTREINTE;;2;2;;"{""coordinates"": [[[2.362239032875808, 48.84006847339192], [2.363620192184527, 48.84185194451383], [2.364493944795216, 48.84089377350789], [2.363430079104163, 48.840434494457966], [2.362899350088685, 48.840273303739046], [2.362239032875808, 48.84006847339192]]], ""type"": ""Polygon""}";48.840914049833835,2.3634482127357046
CP001731;;75013;14;2;RATP;TRAVAUX_OUVRAGE;Mécanisation de la station de la place d'Italie et dévoiement des concessionnaires.;Boulevard Vincent Auriol;entre la place d'Italie et la rue Albert Bayet;2020-09-14;2023-01-31;RESTREINTE;Travaux par phases, avec modification de la circulation selon les phases.;1;2;;"{""coordinates"": [[[2.356534223023758, 48.831294047879894], [2.358263322409682, 48.83185896218089], [2.358577317693122, 48.83145265241965], [2.356419118137488, 48.83073780319138], [2.356220731689172, 48.830999785471484], [2.356534223023758, 48.831294047879894]]], ""type"": ""Polygon""}";48.83130534807072,2.3573782064251296
CP002264;;75008;9;2;CLIMESPACE;RACCORDEMENT_RESEAU;Raccordement 20 rue Treilhard;Rue Treilhard;Du 13 au 19;2022-04-11;2022-05-20;RESTREINTE;"En 2 phases 
Maintien de 3.50 m";2;2;;"{""coordinates"": [[[[2.313252179953289, 48.876890604830635], [2.31322924660652, 48.87692915920666], [2.313342057992806, 48.87699167362937], [2.313486019314754, 48.87701748382035], [2.313501765455825, 48.87705445688215], [2.313907440779378, 48.87706749011908], [2.313917556476579, 48.87698426577528], [2.313430766255567, 48.876967197907575], [2.313349712103684, 48.87695840424202], [2.313252179953289, 48.876890604830635]]], [[[2.313249619653844, 48.8768888247415], [2.313252179953289, 48.876890604830635], [2.313253227116761, 48.87688884543662], [2.313249619653844, 48.8768888247415]]]], ""type"": ""MultiPolygon""}";48.87700629090406,2.313623555503183
CP002232;555465;75012;14;1;DVD Mission Vélos;REAMENAGEMENT_VOIRIE;Pérennisation de la piste vélos;Rue du faubourg Saint Antoine;Du N°100 au N°198 ( Faidherbe à leur Rollin);2022-01-24;2022-09-30;SENS_UNIQUE;Mise à sens unique de la rue du Faubourg Saint Antoine depuis la rue Faidherbe jusqu'à la rue Ledru Rollin;1;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/LAR FSA 3.pdf;"{""coordinates"": [[[2.376308391918469, 48.85131824813701], [2.378602104467966, 48.8507394135361], [2.380183722013101, 48.850500568501424], [2.381453487215365, 48.85048028580693], [2.384305031945567, 48.85020498002913], [2.384233382726496, 48.850070345025735], [2.381561378293656, 48.85030361332807], [2.381292523176901, 48.85032907625015], [2.380307381021648, 48.85036694273977], [2.379443338953877, 48.85048598888156], [2.379263737960088, 48.85053339299789], [2.378440315177277, 48.850658013572136], [2.37768922704301, 48.85085819338478], [2.376269311299496, 48.85118377906475], [2.376308391918469, 48.85131824813701]]], ""type"": ""Polygon""}";48.850530704096386,2.380492389635636
CP002196;458502 / 458514;75014;12;2;Eau de Paris;ENTRETIEN_RESEAU;Remplacement de canalisation;Avenue Reille;Le long du square Jules Hénaffe;2021-12-01;2022-06-24;RESTREINTE;Maintien de 5.0m de circulation;2;2;;"{""coordinates"": [[[2.331121214957248, 48.823719299020546], [2.331697145678074, 48.8237724903967], [2.331708368805232, 48.82374042817946], [2.331170275487259, 48.823687448485856], [2.331090919904979, 48.82369295311805], [2.331121230221191, 48.82371810922665], [2.331121214957248, 48.823719299020546]]], ""type"": ""Polygon""}";48.823728032300636,2.3314037694909313
CP001999;;75006;12;3;DUMEZ;REHABILITATION_IMMEUBLE;cantonnement;rue de Sèvres;en vis à vis du n°33;2021-06-14;2022-09-30;RESTREINTE;modification des files de circulation au droit de l'emprise. Livraison et installation des bungalows les nuits du 22/06 au 24/06 de 22h à 6h avec fermeture de la voie dans le sens bd Raspail vers et jusqu'à la rue Velpeau.;2;2;;"{""coordinates"": [[[2.32567501181108, 48.850976338280596], [2.325994893772153, 48.85111139587731], [2.32601981140593, 48.85108060191929], [2.326012297730867, 48.85104819709105], [2.325726152197782, 48.850925227267865], [2.32567501181108, 48.850976338280596]]], ""type"": ""Polygon""}";48.85101696921645,2.3258546673669196
CP002137;;75008;9;2;Eau de Paris;ENTRETIEN_RESEAU;Renouvellement de canalisation;Rue d'Amsterdam, rue de Londres;;2021-09-13;2022-05-13;RESTREINTE;;2;2;;"{""coordinates"": [[[2.327304217171399, 48.877688813704616], [2.327300147459003, 48.87768879083574], [2.327019348982708, 48.87768989713406], [2.327008980664603, 48.87754758270148], [2.326952014391645, 48.877547262437716], [2.326961376731735, 48.87776740968482], [2.327009442192238, 48.87782672942951], [2.327304217171399, 48.877688813704616]]], ""type"": ""Polygon""}";48.877707800201634,2.327058298441455
CP002256;562979;75008;9;2;CPCU;RACCORDEMENT_RESEAU;Raccordement du 38 Cours Albert 1er;Cours Albert 1er / Place de la Reine Astrid;"Du 38 au 42 avenue Montaigne
Place de la Reine Astrid angle Avenue Montaigne";2022-02-28;2022-07-01;RESTREINTE;Maintien de 3,00 m de circulation Cours Albert 1er;2;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/Info Riverain - BRT 18114.pdf;"{""coordinates"": [[[[2.303221859467678, 48.86480974716434], [2.304358053026542, 48.864834146662474], [2.304364240018224, 48.86477588411417], [2.303120553376772, 48.86477963168514], [2.303195584629283, 48.86494916779095], [2.302902695869012, 48.8652507667575], [2.302967425529959, 48.86527798483075], [2.303235977700881, 48.86497087581886], [2.30322578320995, 48.86482050643949], [2.303221859467678, 48.86480974716434]]], [[[2.304361626525966, 48.864836546211656], [2.304363445713522, 48.86483536784601], [2.304363477487666, 48.86483298835294], [2.304361626525966, 48.864836546211656]]]], ""type"": ""MultiPolygon""}";48.864894055585076,2.3035469234534283
CP000972;;75008;9;2;SNCF EOLE;TRAVAUX_OUVRAGE;Création d'un puits de service.;avenue de Friedland;entre la rue Berryer et la rue Beaujon;2019-01-08;2022-12-30;RESTREINTE;Maintien d'une file de circulation  en direction de la place de l'Etoile , la circulation générale est déviée dans la contre-allée à partir de la rue Lamennais;1;2;;"{""coordinates"": [[[2.304422803720147, 48.87491931126261], [2.304459185606731, 48.87489620365206], [2.304473823226661, 48.874880584410775], [2.304472794024378, 48.87474161495838], [2.303399433909941, 48.87461925331769], [2.303278408078825, 48.874605699179945], [2.303255264600916, 48.87460984803744], [2.303234165106572, 48.87462304986576], [2.303222406926372, 48.874639162372354], [2.303222184112558, 48.87465581777475], [2.303278015299301, 48.874688979490756], [2.303324449258401, 48.87472351554153], [2.303335161626825, 48.874731667460274], [2.303429363970006, 48.874808835933436], [2.304422803720147, 48.87491931126261]]], ""type"": ""Polygon""}";48.87476349511089,2.3038824253010706
CP001735;;75018;9;1;SG Mission des JO 2024;CONSTRUCTION_IMMEUBLE;Arena 2;avenue de la Porte de la Chapelle;n°6;2020-09-07;2023-07-31;BARRAGE_TOTAL;"entre le bd Ney et l'avenue de la pte de la Chapelle.
Le bd Ney sera réduit à une file au niveau de l'accès de chantier.";2;2;;"{""coordinates"": [[[2.360326035093698, 48.89878775856859], [2.360147174101947, 48.89875995133474], [2.359884949207096, 48.89888743914395], [2.359556175650708, 48.89912735011801], [2.359480887800005, 48.89928805990154], [2.359617900825142, 48.899406941074794], [2.359887174553434, 48.90003134705187], [2.362321418594658, 48.900099862545694], [2.362413244954532, 48.89859486607447], [2.362288235423744, 48.898599571206205], [2.362229552931678, 48.89873534500308], [2.360439273320175, 48.898852808318075], [2.360325903128974, 48.89879849839457], [2.360317823636407, 48.89879308452548], [2.360334047246321, 48.8987985418932], [2.360326035093698, 48.89878775856859]]], ""type"": ""Polygon""}";48.8994165024635,2.361067201413404
CP002201;458502 / 458514;75014;12;2;Eau de Paris;ENTRETIEN_RESEAU;Base vie pour travaux de renouvellement de conduite.;rue de la Tombe Issoire;Au N°113;2021-12-06;2022-06-24;RESTREINTE;"Maintien de 4,00 m de circulation + Piste Cyclable.
Pour la pose le 06/12; Fermeture de rue de la Tombe Issoire de rue Beaunier à rue Lacaze + Mise en impasse de rue Henri Regnault depuis Père Corentin vers rfue de la Tombe Issoire";2;2;;"{""coordinates"": [[[2.331249979006188, 48.82445783581823], [2.331169807527955, 48.82445167639275], [2.331229774834019, 48.82460906582764], [2.331296269660971, 48.82459484075726], [2.331250929742274, 48.82445847339848], [2.331249979006188, 48.82445783581823]]], ""type"": ""Polygon""}";48.82452725787608,2.3312353621663515
